Farm_ID,Crop_Type,Farm_Location,Nitrogen_Percent,Phosphorus_ppm,Potassium_ppm,Soil_pH,Rainfall_mm,Yield_kg_per_ha,Planting_Date,Harvest_Date
GH-00360,Cassava,Brong Ahafo,0.88,25.9,210.3,4.58,1377.7,9439.3,2022-05-01,2023-02-28
GH-00844,Groundnut,Brong Ahafo,1.61,23.8,278.0,5.87,1129.7,1469.7,2022-08-08,2022-12-15
GH-00845,Yam,Brong Ahafo,2.36,18.9,243.8,5.66,1135.1,14754.1,2022-10-02,2023-04-04
GH-00329,Soybean,Upper West,1.51,19.1,187.4,6.66,1024.3,2103.8,2023-08-04,2023-11-22
GH-01507,Soybean,Northern,2.67,13.5,146.5,5.72,1016.9,1281.4,2022-04-21,2022-07-29
GH-01606,Groundnut,Greater Accra,1.18,45.2,282.7,5.14,874.3,1774.3,2023-09-11,2024-01-07
GH-01152,Yam,Upper West,2.65,35.9,53.4,6.43,918.2,16326.3,2022-11-26,2023-09-20
GH-01222,,Ashanti,2.74,,213.3,6.01,1830.0,2548.4,2022-07-13,2022-11-12
GH-00362,Maize,Central,1.53,26.6,123.2,5.14,1203.9,3209.2,2023-07-16,2023-11-25
GH-01487,Groundnut,Upper East,2.48,17.5,234.7,6.66,969.3,2449.3,2022-01-23,2022-05-18
GH-00639,Rice,Upper West,1.3,16.5,142.0,6.89,909.3,3299.0,2022-09-21,2022-12-21
GH-01557,Rice,Northern,1.47,,273.9,5.98,1010.9,2312.0,2023-08-05,2023-12-16
GH-00379,Rice,Northern,0.55,35.6,123.1,5.0,1000.4,4160.2,2023-11-19,2024-04-15
GH-00165,Rice,Brong Ahafo,3.29,19.4,199.5,4.84,1380.4,4190.6,2022-07-21,2022-10-27
GH-01581,Cocoa,Upper West,1.89,44.7,99.5,6.57,1017.6,816.6,2022-07-16,2023-04-11
GH-01856,Rice,Central,1.62,9.3,209.1,5.35,1234.0,3915.9,2022-10-12,2023-01-16
GH-01374,Rice,Northern,,41.6,108.5,5.51,1036.9,2081.0,2023-07-09,2023-10-24
GH-01837,Plantain,Volta,1.5,27.1,116.6,6.51,1169.7,8474.6,2022-05-24,2022-10-18
GH-00384,Yam,Central,3.03,,218.1,5.29,1126.4,17053.9,2023-08-06,2024-04-13
GH-00780,Cassava,Central,1.88,28.1,90.9,6.19,,17671.8,2022-04-21,2023-08-26
GH-01896,Groundnut,Volta,2.73,36.8,274.7,6.89,,1200.4,2022-12-22,2023-05-04
GH-00202,Soybean,Eastern,0.54,46.2,97.0,5.95,1259.3,1687.1,2022-10-04,2023-02-14
GH-00941,Cocoa,Ashanti,1.6,27.0,98.9,6.51,,712.3,2022-12-21,2023-09-30
GH-00850,Plantain,Upper West,3.08,26.8,260.6,6.3,1111.6,11258.9,2022-09-12,2022-12-21
GH-01338,Plantain,Upper West,1.76,14.9,59.3,7.36,1032.0,8097.8,2022-10-03,2023-02-11
GH-00482,Plantain,Eastern,1.85,25.6,268.6,4.64,1621.6,11927.1,2023-07-27,2023-04-06
GH-00311,Soybean,Brong Ahafo,1.1,,118.5,6.56,1294.3,2423.5,2023-02-28,2023-07-13
GH-00750,Rice,Central,2.64,40.5,80.7,6.31,1057.7,3664.9,2023-04-03,2023-07-27
GH-00014,Cassava,Upper West,2.25,6.2,98.8,5.61,1099.9,9823.9,2023-07-14,2024-10-23
GH-01531,Plantain,Eastern,2.34,37.7,115.6,7.01,1539.6,9588.4,2023-03-22,2023-07-22
GH-01060,Cocoa,Volta,0.64,,97.5,5.62,1021.7,845.6,2023-04-18,2023-12-31
GH-00335,Plantain,ASH,0.95,36.1,213.5,5.76,1274.0,,2023-06-03,2023-09-09
GH-00493,Maize,Brong Ahafo,3.31,26.0,,4.62,1330.7,3289.3,2023-05-14,2023-09-10
GH-01036,Rice,Eastern,1.3,37.7,181.8,6.57,,2065.9,2022-03-16,2022-07-29
GH-01672,Yam,Brong Ahafo,1.87,20.3,170.0,4.66,1337.4,10303.5,2022-05-13,2023-02-01
GH-00798,Groundnut,Central,2.71,46.7,190.0,6.4,1222.6,2394.6,2022-10-09,2023-01-28
GH-00074,Rice,Upper West,3.42,46.5,119.8,4.69,1038.5,2655.3,2023-06-09,2023-10-23
GH-01131,Rice,Western,0.99,42.8,155.4,6.16,1993.3,2657.5,2022-02-02,2022-06-09
GH-01744,Cassava,Central,3.22,34.9,193.9,5.71,1486.6,18781.3,2022-01-18,2023-06-11
GH-01517,Groundnut,Greater Accra,2.14,6.6,54.5,4.57,1129.4,980.2,2023-11-19,2024-02-24
GH-00946,Groundnut,Western,3.19,,242.9,5.37,1561.2,891.4,2022-10-21,2022-06-30
GH-01304,Plantain,Upper East,1.21,47.1,152.0,6.73,1038.4,6600.8,2023-08-24,2023-12-13
GH-00387,Cassava,Western,2.0,22.4,138.2,5.87,1680.1,13324.1,2022-02-24,2023-01-19
GH-01420,Maize,Western,1.53,44.0,125.1,5.75,,3221.2,2023-09-01,2024-01-04
GH-01479,Plantain,Western,0.52,14.5,120.6,4.89,,13054.7,2022-02-06,2022-06-19
GH-01551,Yam,Upper East,3.18,6.2,126.4,7.16,1091.5,6721.0,2023-07-07,2024-03-27
GH-01224,Groundnut,Upper West,3.19,18.8,207.8,6.45,927.7,2232.2,2022-06-09,2022-10-19
GH-00298,Groundnut,Upper East,2.97,8.9,239.0,5.39,996.3,1627.9,2022-01-16,2022-05-03
GH-00825,Soybean,Greater Accra,,5.3,161.0,5.14,1156.0,1513.0,2022-06-15,2022-09-14
GH-01559,Groundnut,Volta,0.94,35.6,226.6,6.12,1086.1,1344.2,2022-10-10,2023-01-22
GH-00786,Maize,Greater Accra,1.15,15.6,244.5,7.46,972.7,,2022-07-08,2022-10-10
GH-01811,Rice,Northern,0.64,6.1,156.0,6.2,1086.5,2366.1,2023-12-19,2024-03-27
GH-01608,Maize,Greater Accra,2.07,16.8,151.6,5.78,1258.2,2210.8,2022-06-20,2022-03-12
GH-01598,Yam,Brong Ahafo,0.78,5.1,,4.76,1389.6,14500.7,2023-06-06,2024-03-22
GH-01409,Groundnut,Northern,2.7,8.8,151.2,7.3,1016.0,926.5,2022-11-30,2023-04-14
GH-01052,Maize,Brong Ahafo,2.04,16.7,170.9,7.46,,2997.8,2023-05-26,2023-10-01
GH-00474,Cocoa,Upper East,1.85,7.2,180.4,7.07,1010.4,615.0,2023-05-23,2024-03-15
GH-01120,Plantain,Upper West,1.33,26.1,86.1,4.55,1095.6,8170.1,2023-04-25,2023-08-23
GH-00900,Cassava,Western,2.0,28.3,200.9,6.25,2079.1,12852.0,2023-08-25,2024-07-24
GH-00503,Yam,Volta,2.73,22.7,118.9,6.06,1023.9,6625.1,2024-04-30,2023-07-30
GH-00984,Yam,Northern,2.18,31.5,233.6,7.36,1074.3,13659.0,2023-11-06,2023-04-02
GH-01489,Maize,Volta,1.25,27.4,162.0,5.75,1323.0,2250.6,2023-03-24,2023-07-27
GH-00530,Rice,Brong Ahafo,2.29,12.4,241.4,6.66,1292.5,2512.2,2022-12-05,2023-05-01
GH-01612,Plantain,Greater Accra,,19.2,166.9,6.69,1219.1,9041.9,2022-08-27,2023-01-13
GH-00647,Yam,Western,2.54,43.6,200.0,6.04,1706.0,10061.6,2022-11-13,2023-06-04
GH-00260,Cassava,Ashanti,3.02,33.5,177.0,7.48,1328.5,14787.6,2023-09-09,2025-01-29
GH-01857,Yam,Eastern,2.07,6.5,232.7,7.14,1533.8,,2022-02-06,2022-08-26
GH-00745,Cassava,Eastern,3.06,47.2,177.3,6.58,1675.4,12611.6,2022-10-12,2024-03-15
GH-01547,Soybean,Eastern,3.27,38.3,59.1,7.1,1637.3,1404.0,2022-06-25,2022-11-19
GH-01090,,Northern,3.01,48.9,,5.89,1017.8,3169.0,2023-09-23,2024-01-06
GH-00797,Yam,Brong Ahafo,2.04,25.3,197.3,4.78,1397.2,12644.5,2022-05-26,2023-01-02
GH-01350,Yam,Central,0.66,18.5,292.2,5.78,,6274.8,2022-06-17,2023-02-25
GH-01455,Maize,Upper East,1.79,21.3,78.2,7.15,1028.2,2296.1,2023-08-05,2023-11-08
GH-00987,Cocoa,Western,0.85,7.9,219.0,4.54,1713.3,1019.1,2022-02-27,2022-12-23
GH-00520,Rice,Brong Ahafo,0.65,35.8,127.8,6.19,1344.7,3700.7,2023-01-25,2023-05-29
GH-00678,Soybean,Central,2.76,48.8,57.4,4.73,1122.9,1753.5,2022-10-01,2023-01-24
GH-00811,Cassava,Volta,0.52,,173.9,5.39,1195.5,17212.5,2022-12-31,2023-12-25
